ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"229202396176000015","229","202","396176","00","0015",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,116.00,RUA PEDRO BLOCH,"94",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396176000014","229","202","396176","00","0014",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,116.00,RUA PEDRO BLOCH,"88",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229202396176000013","229","202","396176","00","0013",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,170.00,RUA PEDRO BLOCH,"80",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232035293806000062","232","035","293806","00","0062",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",99.00,84.00,RUA CAROLINA GARZELA MENEGHINI,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232035293806000061","232","035","293806","00","0061",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",101.00,84.00,RUA CAROLINA GARZELA MENEGHINI,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232035293806000060","232","035","293806","00","0060",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",99.00,84.00,RUA CAROLINA GARZELA MENEGHINI,"99",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229228167037000004","229","228","167037","00","0004",IT,IPA,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",33440.00,24332.00,RUA MANUEL RODRIGUES SANTIAGO,"844",,0.00,0.00,,,,,,SAO PAULO,SAO PAULO,LESTE 2
"229228167037000003","229","228","167037","00","0003",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",12800.00,13306.00,RUA MANUEL RODRIGUES SANTIAGO,"809",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229228167037000002","229","228","167037","00","0002",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",15014.00,16169.00,RUA MANUEL RODRIGUES SANTIAGO,"514",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229205396176000001","229","205","396176","00","0001",IT,IPA,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",912.00,2813.00,RUA PEDRO BLOCH,"88",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
